company_name,pan,gstin,industry,email,city,state,state_code,pincode,facility_type,commodities,hsn_codes,products,product_category,grade,price_per_unit_inr,unit,moq,max_order_qty,lead_time_days,min_order_value,max_order_value,annual_turnover_inr,years_in_operation,certifications,production_capacity,capacity_unit,profile_text,floor_price_inr,max_discount_pct
Manesar Rubber Components Corp,RRMRC9012R,06RRMRC9012R1Z1,Auto Components,sales@manesarrubber.com,Manesar,Haryana,06,122051,MANUFACTURING_PLANT,"Rubber Seals,O-Rings,Gaskets","4016,4006,8484",Automotive Rubber Seal Kit,Auto Components,EPDM/NBR,45,Kit,5000,500000,7,225000,22500000,150000000,15,"IATF 16949,ISO 9001",1000000,Kit,Manesar IMT rubber component manufacturer for automotive OEMs. Produces EPDM seals NBR o-rings and silicone gaskets. Supplies to Maruti Honda and Hero. Compression and injection moulding.,38,12
Pithampur Forging Works Pvt Ltd,SSPFW3456S,23SSPFW3456S1Z9,Auto Components,forging@pithampur.com,Pithampur,Madhya Pradesh,23,454775,MANUFACTURING_PLANT,"Forged Components,Crankshafts,Connecting Rods","7326,8483,8409",Forged Connecting Rod,Auto Components,EN16 Steel,650,Piece,500,50000,14,325000,32500000,200000000,20,"ISO 9001,NABL Accredited Lab",100000,Piece,Pithampur industrial area forging manufacturer. Hot forging closed die forging and machining. Produces connecting rods crankshafts and gear blanks for tractor and commercial vehicle OEMs.,580,8
Sanand EV Components Ltd,TTSEC7890T,24TTSEC7890T1Z7,Auto Components,ev@sanandcomponents.com,Sanand,Gujarat,24,382170,MANUFACTURING_PLANT,"EV Battery Packs,BMS,Motor Controllers","8507,9032,8501",Lithium Battery Pack 48V,Auto Components,LFP Prismatic,28000,Pack,100,10000,21,2800000,280000000,180000000,5,"AIS 156,ISO 9001,IEC 62619",20000,Pack,Sanand-based EV component manufacturer near Tata Motors plant. Produces LFP battery packs BMS units and BLDC motor controllers for electric 2W and 3W. AIS 156 homologated.,25000,8
Raipur TMT Steel Pvt Ltd,UURST1234U,22UURST1234U1Z5,Steel & Metals,sales@raipurtmt.com,Raipur,Chhattisgarh,22,492001,MANUFACTURING_PLANT,"TMT Bars,Structural Steel,Wire Rod","7214,7216,7213",TMT Bar Fe500D 12mm,Steel & Metals,Fe500D IS 1786,52000,MT,50,5000,7,2600000,260000000,850000000,22,"BIS ISI,IS 1786,RDSO",25000,MT,Raipur steel manufacturer with 500 TPD TMT bar rolling mill. BIS certified Fe500D and Fe550D grades. RDSO approved for railway construction. Own DRI and billet making facility.,48000,6
Bellary Iron and Steel Corp,VVBIS5678V,29VVBIS5678V1Z3,Steel & Metals,supply@bellarysteel.com,Bellary,Karnataka,29,583101,MANUFACTURING_PLANT,"HR Coil,CR Coil,Galvanized Sheets","7208,7209,7210",Hot Rolled Coil IS 2062,Steel & Metals,E250 Grade,55000,MT,100,10000,10,5500000,550000000,2200000000,28,"BIS ISI,IS 2062,ISO 9001",40000,MT,Bellary integrated steel plant with blast furnace and hot strip mill. Produces HR coils CR sheets and galvanized products. IS 2062 E250 E350 certified. 500 KTPA capacity.,51000,5
Jharsuguda Stainless Steel Ltd,WWJSS9012W,21WWJSS9012W1Z1,Steel & Metals,orders@jharsugudass.com,Jharsuguda,Odisha,21,768201,MANUFACTURING_PLANT,"Stainless Steel Coils,SS Sheets,SS Pipes","7219,7220,7304",SS 304 Cold Rolled Coil,Steel & Metals,ASTM A240 304,185000,MT,10,1000,14,1850000,185000000,680000000,15,"BIS,ASTM,ISO 9001",3000,MT,Jharsuguda stainless steel cold rolling and finishing complex. Produces 304 316 and 430 grade SS coils sheets and pipes. ASTM and BIS dual certified.,172000,6
Jamshedpur Alloy Steels Pvt Ltd,XXJAS3456X,20XXJAS3456X1Z9,Steel & Metals,alloy@jamshedpursteels.com,Jamshedpur,Jharkhand,20,831001,MANUFACTURING_PLANT,"Alloy Steel Rounds,Tool Steel,Spring Steel","7228,7225,7224",Alloy Steel Round Bar EN19,Steel & Metals,EN19 Cr-Mo,85000,MT,5,500,10,425000,42500000,320000000,35,"BIS,NABL,ISO 9001",2000,MT,Jamshedpur alloy and special steel manufacturer. Produces EN series alloy rounds tool steels and spring steels. NABL accredited in-house testing lab. Supplies to defence and heavy engineering.,78000,8
Visakhapatnam Steel Tubes Corp,YYVST7890Y,37YYVST7890Y1Z7,Steel & Metals,tubes@vizagsteeltubes.com,Visakhapatnam,Andhra Pradesh,37,530031,MANUFACTURING_PLANT,"ERW Pipes,Seamless Tubes,Structural Hollow","7306,7304,7301",ERW Steel Pipe IS 1239,Steel & Metals,Medium Class,62000,MT,25,2000,7,1550000,124000000,420000000,20,"BIS ISI,IS 1239,IBR Approved",5000,MT,Vizag ERW pipe and tube manufacturer. IBR approved boiler tubes. IS 1239 structural pipes from 15mm to 200mm NB. Supplies to oil and gas water and construction sectors.,57000,6
Indore Soy Foods Pvt Ltd,ZZISF1234Z,23ZZISF1234Z1Z5,Food Processing,bulk@indoresoy.com,Indore,Madhya Pradesh,23,452001,MANUFACTURING_PLANT,"Soybean Meal,Soy Lecithin,Soy Protein","1507,2304,3504",De-Oiled Soybean Cake,Food Processing,Hi-Pro 48% Protein,38000,MT,50,5000,5,1900000,190000000,650000000,20,"FSSAI,ISO 22000,Halal,Kosher",10000,MT,Indore soybean processing complex with 1200 TPD crush capacity. Produces de-oiled cake refined soy oil and soy lecithin. FSSAI ISO 22000 Halal and Kosher certified. Major poultry feed supplier.,35000,6
Nashik Grape Processors Ltd,AANGP5678A,27AANGP5678A1Z3,Food Processing,wine@nashikgrapes.com,Nashik,Maharashtra,27,422003,MANUFACTURING_PLANT,"Grape Concentrate,Wine,Raisins","2009,2204,0806",Grape Juice Concentrate 68 Brix,Food Processing,Thompson Seedless,120,Kg,1000,100000,10,120000,12000000,180000000,12,"FSSAI,ISO 22000,Organic India",2000,MT,Nashik grape processing and winery. Produces grape juice concentrate wine and dehydrated grapes. 5000 MT grape crush capacity. Organic India certified product line.,105,10
Krishnagiri Mango Pulp Industries,BBKMP9012B,33BBKMP9012B1Z1,Food Processing,export@krishnagirimango.com,Krishnagiri,Tamil Nadu,33,635001,MANUFACTURING_PLANT,"Mango Pulp,Fruit Puree,Canned Fruits","2007,2008,0804",Totapuri Mango Pulp Aseptic,Food Processing,Totapuri 15-17 Brix,65,Kg,5000,500000,7,325000,32500000,120000000,18,"FSSAI,BRC,HACCP,US FDA",8000,MT,Krishnagiri aseptic fruit processing plant. Produces Totapuri and Alphonso mango pulp and guava puree. BRC Grade A certified. Exports to Middle East Europe and USA.,55,12
Coimbatore Spice Oils Pvt Ltd,CCCSO3456C,33CCCSO3456C1Z9,Food Processing,spice@coimspiceoils.com,Coimbatore,Tamil Nadu,33,641014,MANUFACTURING_PLANT,"Essential Oils,Oleoresins,Spice Extracts","3301,1302,0910",Black Pepper Oleoresin,Food Processing,6-8% Piperine,3800,Kg,50,5000,14,190000,19000000,95000000,25,"FSSAI,ISO 22000,Spices Board,Organic",200,MT,Coimbatore spice extraction facility. Produces oleoresins essential oils and spray-dried spice powders. Spices Board of India registered. Supplies to food flavour and pharma industries.,3400,8
Delhi NCR Cold Chain Foods Ltd,DDCCF7890D,07DDCCF7890D1Z7,Food Processing,supply@delhicoldchain.com,Greater Noida,Uttar Pradesh,09,201310,INTEGRATED,"Frozen Foods,Ready-to-Eat,Dairy Products","1602,2106,0401",Frozen Paneer Tikka 500g,Food Processing,Premium IQF,185,Pack,2000,200000,5,370000,37000000,250000000,8,"FSSAI,ISO 22000,HACCP,BRC",400000,Pack,Delhi NCR integrated cold chain food manufacturer. 10000 MT frozen storage capacity. Produces frozen snacks ready meals and dairy products. BRC certified. Supplies to HoReCa and modern retail.,160,10
Noida LED Lighting Systems Pvt Ltd,EENLS1234E,09EENLS1234E1Z5,Electronics & Electrical,sales@noidaled.com,Noida,Uttar Pradesh,09,201301,MANUFACTURING_PLANT,"LED Panels,Street Lights,Drivers","9405,8539,8504",LED Panel Light 40W,Electronics & Electrical,BIS ISI Approved,380,Piece,500,50000,7,190000,19000000,280000000,10,"BIS ISI,ISO 9001,BEE Star Rated",100000,Piece,Noida Sector 63 LED lighting manufacturer. BIS certified LED panels downlights and street lights. BEE 5-star rated products. Supplies to government EESL tenders and commercial projects.,340,8
Bangalore PCB Tech Ltd,FFBPT5678F,29FFBPT5678F1Z3,Electronics & Electrical,pcb@bangalorepcb.com,Bangalore,Karnataka,29,560058,MANUFACTURING_PLANT,"Printed Circuit Boards,Flex PCB,HDI PCB","8534,8534,8534",4-Layer FR4 PCB,Electronics & Electrical,IPC Class 2,85,Sq Dm,100,10000,10,8500,850000,150000000,14,"ISO 9001,IPC-A-600,UL Listed",20000,Sq Dm,Bangalore PCB fabrication facility. Produces single-sided through 12-layer HDI boards. IPC Class 2 and Class 3 standards. UL listed. Serves defence aerospace telecom and medical device OEMs.,75,10
Chennai Transformer Works Corp,GGCTW9012G,33GGCTW9012G1Z1,Electronics & Electrical,power@chennaitransformer.com,Chennai,Tamil Nadu,33,600058,MANUFACTURING_PLANT,"Power Transformers,Distribution Transformers,Reactors","8504,8504,8504",Distribution Transformer 100 KVA,Electronics & Electrical,IS 1180 Part 1,125000,Unit,10,500,21,1250000,62500000,380000000,30,"BIS ISI,IS 1180,ISO 9001,CPRI Tested",500,Unit,Chennai transformer manufacturing facility. Produces distribution and power transformers up to 5 MVA. IS 1180 BIS certified. CPRI type tested. Supplies to state electricity boards and private DISCOMs.,112000,8
Pune IoT Solutions Pvt Ltd,HHPIO3456H,27HHPIO3456H1Z9,Electronics & Electrical,iot@puneiotsolutions.com,Pune,Maharashtra,27,411057,MANUFACTURING_PLANT,"IoT Gateways,Sensors,Industrial Controllers","8471,9025,9032",Industrial IoT Gateway 4G,Electronics & Electrical,IP65 Rated,12500,Unit,50,5000,14,625000,62500000,85000000,6,"ISO 9001,CE,FCC",10000,Unit,Pune-based industrial IoT hardware manufacturer. Produces 4G/WiFi gateways temperature sensors and PLC controllers. IP65 rated for industrial environments. Modbus MQTT protocols.,11000,10
Dehradun Solar Inverter Corp,IIDSI7890I,05IIDSI7890I1Z7,Electronics & Electrical,solar@dehradunsolar.com,Dehradun,Uttarakhand,05,248001,MANUFACTURING_PLANT,"Solar Inverters,Charge Controllers,UPS","8504,9032,8504",Solar Hybrid Inverter 5KW,Electronics & Electrical,MNRE Approved,32000,Unit,25,2000,10,800000,64000000,120000000,9,"BIS ISI,MNRE,ISO 9001,IEC 62109",5000,Unit,Dehradun solar power electronics manufacturer. MNRE approved solar inverters and charge controllers. 1KW to 50KW range. Supplies to KUSUM scheme and rooftop solar installers.,28000,10
Ahmedabad Polymould Industries,JJAPM1234J,24JJAPM1234J1Z5,Plastics & Rubber,mould@aaboratory.com,Ahmedabad,Gujarat,24,382445,MANUFACTURING_PLANT,"Injection Moulded Parts,PVC Fittings,HDPE Containers","3917,3923,3926",HDPE Jerry Can 20L,Plastics & Rubber,FDA Grade HDPE,95,Piece,1000,100000,7,95000,9500000,180000000,16,"ISO 9001,BIS ISI,FDA Compliant",100000,Piece,Ahmedabad plastic injection moulding factory with 50-650T machines. Produces HDPE containers PVC pipe fittings and automotive plastic parts. Food grade and BIS certified products.,82,10
Daman Packaging Solutions Pvt Ltd,KKDPS5678K,25KKDPS5678K1Z3,Plastics & Rubber,pack@damanpackaging.com,Daman,Dadra and Nagar Haveli and Daman and Diu,25,396210,MANUFACTURING_PLANT,"Flexible Packaging,Laminated Pouches,Shrink Films","3920,3921,3923",Stand-Up Pouch with Zipper,Plastics & Rubber,Multi-Layer Laminate,3.5,Piece,50000,5000000,10,175000,17500000,220000000,12,"ISO 9001,BRC Packaging,FSSAI",5000000,Piece,Daman flexible packaging manufacturer. 8-colour rotogravure and flexo printing. Produces laminated pouches shrink wraps and printed rolls for FMCG food and pharma packaging.,3,10
Silvassa Rubber Products Corp,LLSRP9012L,26LLSRP9012L1Z1,Plastics & Rubber,rubber@silvassarubber.com,Silvassa,Dadra and Nagar Haveli and Daman and Diu,26,396230,MANUFACTURING_PLANT,"Rubber Hoses,Conveyor Belts,Rubber Sheets","4009,4010,4008",Industrial Rubber Hose 2 inch,Plastics & Rubber,SBR/NBR Reinforced,450,Meter,500,50000,10,225000,22500000,120000000,20,"ISO 9001,IS 444,IS 1554",100000,Meter,Silvassa rubber manufacturing unit. Produces industrial hoses conveyor belts and rubber sheets. IS 444 and IS 1554 certified for mining and industrial use. SBR NBR and EPDM compounds.,400,8
Rajkot PVC Pipe Industries Ltd,MMRPP3456M,24MMRPP3456M1Z9,Plastics & Rubber,pipe@rajkotpvc.com,Rajkot,Gujarat,24,360002,MANUFACTURING_PLANT,"PVC Pipes,CPVC Pipes,SWR Fittings","3917,3917,3917",UPVC Pressure Pipe 110mm,Plastics & Rubber,IS 4985 Class 4,185,Meter,1000,100000,5,185000,18500000,350000000,22,"BIS ISI,IS 4985,IS 15328,ISO 9001",200000,Meter,Rajkot PVC pipe manufacturer with BIS ISI certification. Produces UPVC CPVC and SWR piping systems. IS 4985 pressure pipes for water supply. 50mm to 400mm range. Pan-India distribution.,165,8
Delhi NCR Polymer Compounds Ltd,NNDPC7890N,07NNDPC7890N1Z7,Plastics & Rubber,compound@delhipolymer.com,Bahadurgarh,Haryana,06,124507,MANUFACTURING_PLANT,"PP Compounds,Masterbatch,Filled Compounds","3902,3206,3901",PP Talc Filled Compound 20%,Plastics & Rubber,40 MFI Automotive,92000,MT,5,500,5,460000,46000000,280000000,14,"ISO 9001,IATF 16949",3000,MT,Bahadurgarh polymer compounding facility near Delhi NCR. Produces PP compounds colour masterbatch and filled compounds for automotive appliance and packaging industries. IATF 16949 for auto grade.,85000,6
Morbi Ceramic Tiles Pvt Ltd,OOMCT1234O,24OOMCT1234O1Z5,Building Materials & Ceramics,tiles@morbiceramic.com,Morbi,Gujarat,24,363641,MANUFACTURING_PLANT,"Vitrified Tiles,Ceramic Wall Tiles,Porcelain Tiles","6907,6907,6907",600x600 Vitrified Floor Tile,Building Materials,GVT Glossy,185,Sq Meter,500,50000,7,92500,9250000,420000000,18,"ISO 9001,CE Mark,BIS ISI",100000,Sq Meter,Morbi ceramic cluster vitrified tile manufacturer. Produces GVT PGVT and double-charge tiles in 600x600 and 600x1200 formats. 30000 sqm/day capacity. Exports to 45+ countries.,165,10
Rajasthan Marble Industries Ltd,PPRMI5678P,08PPRMI5678P1Z3,Building Materials & Ceramics,marble@rajasthanmarble.com,Kishangarh,Rajasthan,08,305801,MANUFACTURING_PLANT,"Italian Marble,Indian Granite,Sandstone","6802,6802,6801",Makrana White Marble Slab,Building Materials,Premium A Grade,8500,Sq Meter,100,10000,10,850000,85000000,320000000,25,"ISO 9001,MSME Registered",2000,Sq Meter,Kishangarh marble hub manufacturer and exporter. Processes Makrana white Indian green and imported Italian marble. CNC bridge saw and polishing lines. 5000 sqm daily processing.,7500,8
Kerala Clay Brick Works Corp,QQKCB9012Q,32QQKCB9012Q1Z1,Building Materials & Ceramics,bricks@keralaclay.com,Thrissur,Kerala,32,680003,MANUFACTURING_PLANT,"Wire Cut Bricks,Laterite Blocks,Interlocking Pavers","6901,6810,6810",Wire Cut Red Brick Class A,Building Materials,IS 2222 Class A,8,Piece,10000,1000000,5,80000,8000000,45000000,30,"BIS ISI,IS 2222,ISO 9001",500000,Piece,Thrissur wire-cut brick manufacturer. IS 2222 Class A and Class B certified. 50000 bricks per day capacity. Tunnel kiln technology for uniform quality. Supplies to Kerala and Karnataka.,7,10
Bhiwadi Sanitaryware Industries,RRBSI3456R,08RRBSI3456R1Z9,Building Materials & Ceramics,sanitary@bhiwadisanitary.com,Bhiwadi,Rajasthan,08,301019,MANUFACTURING_PLANT,"Wash Basins,WC,Faucets","6910,6910,8481",Ceramic Wash Basin Wall Mount,Building Materials,IS 774 White,1200,Piece,200,20000,14,240000,24000000,180000000,15,"BIS ISI,IS 774,ISO 9001",50000,Piece,Bhiwadi RIICO sanitaryware manufacturer. Produces ceramic wash basins WC suites and cisterns. IS 774 BIS certified. Annual capacity 3 lakh pieces. Supplies to builders and retail chains.,1050,10
Alwar Cement Products Ltd,SSACP7890S,08SSACP7890S1Z7,Building Materials & Ceramics,cement@alwarcement.com,Alwar,Rajasthan,08,301001,MANUFACTURING_PLANT,"Portland Cement,PPC,Ready Mix","2523,2523,3824",PPC Cement 50kg Bag,Building Materials,IS 1489 Part 1,340,Bag,5000,500000,3,1700000,170000000,1200000000,32,"BIS ISI,IS 1489,ISO 9001,ISO 14001",8000,MT,Alwar cement manufacturing plant. 2 MTPA capacity clinker grinding unit. Produces OPC 43 OPC 53 and PPC grades. BIS certified IS 269 and IS 1489. Green building material certified.,310,5
Rajkot CNC Machine Tools Ltd,TTRCM1234T,24TTRCM1234T1Z5,Industrial Machinery,cnc@rajkotmachines.com,Rajkot,Gujarat,24,360004,MANUFACTURING_PLANT,"CNC Lathes,VMC,Grinding Machines","8458,8457,8460",CNC Turning Center TC-200,Industrial Machinery,Fanuc Controlled,1850000,Unit,1,50,45,1850000,92500000,280000000,20,"ISO 9001,CE Mark",200,Unit,Rajkot machine tool manufacturer. CNC turning centers VMCs and surface grinders with Fanuc and Siemens controls. Spindle bore 52-76mm. Serves auto aerospace and general engineering sectors.,1700000,6
Coimbatore Pumps and Motors Pvt Ltd,UUCPM5678U,33UUCPM5678U1Z3,Industrial Machinery,pumps@coimbatorepumps.com,Coimbatore,Tamil Nadu,33,641045,MANUFACTURING_PLANT,"Centrifugal Pumps,Submersible Pumps,Motors","8413,8413,8501",Centrifugal Monoblock Pump 5HP,Industrial Machinery,IS 9079,12500,Unit,25,2000,10,312500,25000000,180000000,28,"BIS ISI,IS 9079,ISO 9001",5000,Unit,Coimbatore pump capital manufacturer. Produces centrifugal submersible and booster pumps from 0.5HP to 100HP. IS 9079 BIS certified. Supplies to agriculture water supply and industrial sectors.,11000,8
